accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE334206,STK25 m6A modification regulates CD4+ T cell glycolysis mediated immune imbalance in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; other/unclear=10; total=20,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC; T cell,yes,yes,yes,,,,0,2026/06/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334206,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE290531,Mesenchymal Stem Cells relieved Systemic Lupus Erythematosus via CCL2 dependent macrophage polarization,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=4; total=4,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC; monocyte,no,yes,yes,,,,0,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290531,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
