accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE309422,RNAseq analysis of human neutrophil mRNA from adults with SLE and age-matched healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=11; control=10; total=21,high,85,human; SLE samples clear; controls clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood; neutrophil,yes,yes,no,,,,0,2026/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309422,2026-08-01,NULL,auto-collected from GEO metadata
GSE312190,A highly prevalent lupus risk haplotype increases IRF7-dependent induction of IFN-alpha enhancing antiviral defense and exacerbating autoimmunity,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=24; total=24,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,monocyte,yes,yes,yes,,,,0,2026/07/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312190,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE312680,PARN-Driven Alternative Polyadenylation Regulates Immunoglobulin Homeostasis in Antibody-Secreting Cells,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17021,SLE=0; control=0; other/unclear=4; total=4,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,B cell,yes,yes,no,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",14.3,2024-2025,1,2026/07/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312680,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE336950,Epstein-Barr Virus Induced B cell Methionine Dependency is a Targetable Metabolic Vulnerability,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL15520,SLE=0; control=0; other/unclear=12; total=12,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell; T cell,yes,yes,no,,,,0,2026/07/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336950,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
