accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE300310,Human Endogenous Retroviruses Drive Type-I Interferon Signaling activation in Early Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=6; other/unclear=6; total=18,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched Rheumatoid Arthritis,synovium; blood; PBMC,yes,yes,yes,,,,0,2026/06/05,2026/06/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300310,2026-07-11,NULL,auto-collected from GEO metadata
GSE324393,Polygonum aviculare L. and Its Active Compound Myricetin Inhibit Rheumatoid Arthritis by Targeting Yes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=0; total=9,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched Rheumatoid Arthritis,synovium; synovial fibroblast,yes,yes,yes,,,,0,2026/06/10,2026/06/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324393,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE289490,RNA-seq of RA-FLS(siNC vs siFUNDC1),Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34295,RA=12; control=0; total=12,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched Rheumatoid Arthritis,synovium; synovial fibroblast,no,yes,no,,,,0,2026/06/30,2026/06/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289490,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; all samples are RA patient-derived FLS under siNC/siFUNDC1 conditions; no healthy control group
GSE301891,RNA-Seq Analysis of Fibroblast-Like Synoviocytes Treated With Lutein in a Rheumatoid Arthritis Context,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched Rheumatoid Arthritis,synovial fibroblast,no,yes,no,International journal of medical sciences,3.7,2025,0,2026/06/25,2026/06/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301891,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; all samples are RA-derived MH7A synovial fibroblasts under lutein/vehicle conditions; no healthy control group
GSE284057,5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=0; control=12; total=12,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched Rheumatoid Arthritis,synovium; synovial fibroblast,yes,no,yes,,,,0,2026/06/01,2026/06/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284057,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
