accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE282218,WBT-DC Pipeline: Whole Blood Transcriptomics data-based Disease Classification,"Machine learning together with cell/tissue transcriptomics data has been widely used for disease classification. However, obtaining transcriptomics data for human tissues require invasive procedures, making it challenging for widespread application in the clinic. In this study, we developed the WBT-DC (Whole Blood Transcriptomics (WBT) data based Disease Classification). We utilized gene rank-based methods for feature extraction to mitigate issues associated with batch effects and gene noise. We applied the ensemble machine learning model, Random Forest, and performed cross-validation and model tuning. We evaluated our methods on four different diseases including crohn's disease (CD), ulcerative colitis (UC) and amyotrophic lateral sclerosis (ALS) and rheumatoid arthritis (RA) datasets, using data from seven independent cohorts and 2,452 participants, across RNA-Sequencing and microarrays. Our machine learning based WBT-DC pipeline demonstrated a robust performance across various disease datasets and different transcriptomics platforms, establishing itself as a valuable non-invasive tool for future disease classification and prediction.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=61; control=104; total=165,high,100,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,no,yes,yes,2026/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282218,2026-06-12,auto-collected from GEO metadata
GSE300310,Human Endogenous Retroviruses Drive Type-I Interferon Signaling activation in Early Rheumatoid Arthritis,"Substantial reactivation of HERVs was observed in both synovial tissues and PBMCs from early RA patients. Differentially expressed HERVs regulate adjacent ISGs expression by providing cis-regulatory elements. Moreover, excessive cytoplasmic HERVs trigger a type I interferon (IFN-I) response through the dsRNA-RIG-I-IRF3-IFN-I axis. Targeting endogenous retroviruses exhibited potential therapeutic benefits in both CIA mouse models and RA patient-derived ex vivo models. Specifically, the IFN-I inducible HERV.MLT2B2, a novel primate-specific retroelement, acts as a key driver of the antiviral gene IFI44L, establishing a positive feedback loop that amplifies IFN-I signaling.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=6; control=6; other/unclear=6; total=18,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC,yes,yes,yes,yes,2026/06/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300310,2026-06-12,auto-collected from GEO metadata
GSE324393,Polygonum aviculare L. and Its Active Compound Myricetin Inhibit Rheumatoid Arthritis by Targeting Yes,"Rheumatoid arthritis (RA) is a chronic autoimmune disease characterized by synovial inflammation and joint destruction. In RA, fibroblast-like synoviocytes (FLS) acquire a pathogenic phenotype in response to inflammatory cytokines, promoting synovial inflammation and tissue destruction. Thus, targeting pathological FLS activation has emerged as a promising therapeutic strategy. Herein, we aimed to identify novel plant-derived candidates capable of suppressing synovial inflammation. Screening of 327 plants identified Polygonum aviculare L. (PA) as a potent inhibitor of IL-17-mediated synovial inflammation. PA attenuated IL-17-, TNF-α-, and IL-1β-mediated pathological responses in RA patient-derived FLS (RA-FLS) and alleviated clinical symptoms and histopathological changes in an animal model. Transcriptomic analysis revealed that PA reversed IL-17-induced gene expression and suppressed inflammation-related pathways, with NF-κB emerging as a central regulatory axis. UHPLC-based compound profiling combined with AI-driven bioactivity prediction identified myricetin as an active compound of PA with anti-inflammatory and NF-κB inhibitory activity. Myricetin exerted anti-RA effects in RA-FLS, and both PA and myricetin attenuated synovial inflammation in a 3D synovium-like micromass culture system. PA and myricetin targeted Yes and inhibited its activity, with subsequent suppression of SHP-2 phosphorylation and downstream signaling pathways. Notably, myricetin directly bound to the ATP-binding site of Yes. These findings demonstrate that PA and myricetin inhibit pathogenic responses through the Yes–SHP-2 signaling axis and highlight their potential as plant-derived therapeutic candidates for RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=9; control=0; total=9,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2026/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324393,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE284057,5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints,"We previously demonstrated that Homeobox (HOX) transcription factors are differentially expressed between joint locations and can accurately assign synovial fibroblasts (SFs) to their correct joint location. We show here that the expression of the 5’HOXD transcription factors HOXD10, HOXD11, and HOXD13 in SFs strikingly overlaps with predilection sites for the development of rheumatoid arthritis (RA). Changes in SFs gene expression after silencing 5’HOXDs aligned with joint-specific differences of RA SFs. In particular, we identify HOXD13 as regulator or primary cilia function in SFs modulating cell cycle, DNA damage and proteasome activity. Accordingly, we show joint specific differences in primary cilia morphology, DNA damage repair and proteasome activity. We thus propose that HOXD13 and primary cilia play a role in shaping joint-specific SFs functions that might underlie the pathognomic pattern of joint involvement in RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,,RA=0; control=12; total=12,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,no,yes,yes,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284057,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
