accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,notes
GSE282218,WBT-DC Pipeline: Whole Blood Transcriptomics data-based Disease Classification,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=61; control=104; total=165,high,90,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,no,yes,Journal of translational medicine,7.5,2025,0,2026/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282218,2026-06-12,auto-collected from GEO metadata
GSE300310,Human Endogenous Retroviruses Drive Type-I Interferon Signaling activation in Early Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=6; other/unclear=6; total=18,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC,yes,yes,yes,,,,0,2026/06/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300310,2026-06-12,auto-collected from GEO metadata
GSE324393,Polygonum aviculare L. and Its Active Compound Myricetin Inhibit Rheumatoid Arthritis by Targeting Yes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=0; total=9,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,,,,0,2026/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324393,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE284057,5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=0; control=12; total=12,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,no,yes,,,,0,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284057,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
